id,tactic_id,creative_library_id,creative_asset_id,active,deleted,click_tracker_url,click_tracker_encoding_level,impression_pixel_json,js_pixel_json,clickthrough_pixel_json,viewability_pixel_json,last_modified
12187,333304,11600,28374,1,0,,0,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N7676.791086DOUBLECLICKTECH.COM\/B9352239.127304136;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""https:\/\/secure-gl.imrworldwide.com\/cgi-bin\/m?ci=nlsnci304&am=3&at=view&rt=banner&st=image&ca=nlsn32514&cr=crtve&pc=dcbm_plc0001&ce=dcbm&r=[timestamp]""]",[],[],NULL,2/25/16 21:54
28075,337773,12325,31855,1,0,https://ad.doubleclick.net/ddm/trackclk/N2724.1852769TRIPLELIFT.COM/B9457112.128485014;dc_trk_aid=301461699;dc_trk_cid=66292004;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,0,"[""https:\/\/ad.doubleclick.net\/ddm\/trackimp\/N2724.1852769TRIPLELIFT.COM\/B9457112.128485014;dc_trk_aid=301461699;dc_trk_cid=66292004;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http:\/\/tags.bluekai.com\/site\/32051?limit=1""]",[],"[""http:\/\/tags.bluekai.com\/site\/32055?limit=1"",""http:\/\/eb2.3lift.com\/px?add=69928""]",[],4/29/16 16:21
12587,333514,11798,28995,0,0,NULL,0,[],[],[],[],1/23/16 21:56
19397,334448,12487,31962,1,0,NULL,0,[],[],[],[],2/10/16 23:13
23905,336385,13190,34099,1,0,https://ad.atdmt.com/c/go;p=11142202536676;a=11142202567402;ev.a=1;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=?href=,0,"[""https:\/\/ad.atdmt.com\/i\/img;p=11142202536676;a=11142202567402;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=""]",[],[],[],3/14/16 23:13
11178,332928,11327,27652,1,1,http://pixel.mathtag.com/click/img?mt_aid=${[BID_ATTR.bid_id]}&mt_id=${[AD_ATTR.creative]}&mt_adid=${[AD_ATTR.advertiser]}&redirect=https://ad.atdmt.com/c/go;p=11087206155646;ev.a=1;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,0,NULL,NULL,NULL,NULL,1/27/16 18:59
14353,328277,7230,14321,1,0,https://clicks.eyereturn.com/redir.aspx?tokenID=1137335&cn=0&rtu=,0,"[""https:\/\/voken.eyereturn.com\/pix?1132530""]",NULL,NULL,NULL,2/1/16 19:01
32562,339051,16071,44198,0,0,http://insight.adsrvr.org/track/clk?ttd_r=${__TTD_CLK__}&r=,0,"[""https:\/\/t.mookie1.com\/t\/v1\/imp?migAgencyId=616&migSource=adsrv2&migRandom=[timestamp]&migTrackDataExt=3523435;130409495;303707848;0&migTrackFmtExt=client;io;ad;crtv&migUnencodedDest=https:\/\/ad.doubleclick.net\/ddm\/ad\/N4406.1308838.XAXIS.COM\/B9574157.130409495;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]",[],[],"[""https:\/\/cdn.doubleverify.com\/dvtp_src.js?ctx=1362594&cmp=9574157&sid=1416456&plc=130409495&num=&adid=&advid=892261&adsrv=1&region=30&btreg=INSERT_BTREG&btadsrv=INSERT_BTADSRV&crt=&crtname=&chnl=&unit=&pid=&uid=&tagtype=&dvtagver=6.1.src""]",4/15/16 22:17
8925,331610,10095,23683,1,0,NULL,0,[],[],[],[],2/5/16 19:46
1696,315035,847,1562,1,0,http://insight.adsrvr.org/track/clk?ttd_r=${__TTD_CLK__}&r=,0,"[""http:\/\/ad.doubleclick.net\/ddm\/jump\/N5853.284566.THETRADEDESK\/B8045962.117164042;sz=1x1;ord=[timestamp]?""]",[],[],,8/18/15 2:38
14927,331072,9622,21783,1,0,,0,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=17267682&PluID=0&ord=[timestamp]&rtu=-1""]",[],[],"[""https:\/\/z.moatads.com\/xaxisautomatedappnexus278849507304\/moatad.js#moatClientLevel1=${ADV_ID}&tlview_id=[TLVIEW_ID]&moatClientLevel2=${CPG_ID}&moatClientLevel3=${CP_ID}&moatClientLevel4=${CREATIVE_ID}&moatClientSlicer1=${SELLER_MEMBER_ID},${TAG_ID},${REFERER_URL_ENC}&moatClientSlicer2=-"",""https:\/\/cdn.doubleverify.com\/dvtp_src.js?ctx=1147020&cmp=649646&sid=18556&plc=17267682&num=&adid=&advid=561672&adsrv=115&region=30&btreg=INSERT_BTREG&btadsrv=INSERT_BTADSRV&crt=&crtname=&chnl=&unit=&pid=&uid=&tagtype=&dvtagver=6.1.src""]",4/5/16 15:38
11280,329256,11411,27819,1,0,https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=20&mc=click&pli=16283756&PluID=0&ord=[timestamp]&rtu=,1,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=16283756&PluID=0&ord=[timestamp]&rtu=-1"",""http:\/\/tags.bluekai.com\/site\/29697?limit=1""]",[],"[""http:\/\/tags.bluekai.com\/site\/29699?limit=1""]",[],1/14/16 16:44
746,324588,4229,8012,1,0,http://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=20&mc=click&pli=14074616&PluID=0&ord=[timestamp]&rtu=,1,"[""http:\/\/secure.insightexpressai.com\/adServer\/adServerESI.aspx?bannerID=474102&script=false&rnd=[INSERT_CACHEBUSTER_HERE]&redir=\/\/secure.insightexpressai.com\/adserver\/1pixel.gif"",""http:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=14074616&PluID=0&ord=[timestamp]&rtu=-1""]",[],[],[],7/17/15 21:58
25153,336827,14279,38033,1,0,https://ad.doubleclick.net/ddm/clk/301744076;128822799;p?,0,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N9407.127315CENTRO\/B9321756.128822799;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]",NULL,NULL,NULL,3/17/16 23:42
18538,334313,12370,31340,0,0,https://ad.doubleclick.net/ddm/clk/301584482;128302847;f?,0,"[""https:\/\/gap.sp1.convertro.com\/view\/vt\/v1\/gap\/1\/cvo.gif?cvosrc=display.akqa.68543819&cvo_cid=9398102&cvo_pid=128302847&cvo_adid=300956079&cvo_crid=68543819"",""https:\/\/ad.doubleclick.net\/ddm\/ad\/N2949.1264338.TRIPLELIFTINC\/B9398102.128302847;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http:\/\/tags.bluekai.com\/site\/31509?limit=1""]",[],"[""http:\/\/tags.bluekai.com\/site\/31511?limit=1""]","[""https:\/\/z.moatads.com\/akqagapgen506914473213\/moatad.js#moatClientLevel1=1956281&tlview_id=[TLVIEW_ID]&moatClientLevel2=9398102&moatClientLevel3=300956079&moatClientLevel4=68543819&moatClientSlicer1=1615401&moatClientSlicer2=128302847&skin=0""]",2/24/16 15:50
5099,328444,7407,15017,1,0,http://insight.adsrvr.org/track/clk?ttd_r=${__TTD_CLK__}&r=,0,NULL,NULL,NULL,NULL,10/13/15 19:10
